score,title
97,Black Panther
98,Science Fair
100,Night Comes On
95,Foxtrot
100,Pick of the Litter
92,Mandy
88,Annihilation
89,You Were Never Really Here
83,Deadpool 2
99,Free Solo
100,Oh Lucy!
86,Upgrade
84,The Wife
90,Cold War (Zimna wojna)
94,Loveless (Nelyubov)
92,"Love, Simon"
91,We the Animals
99,The Tale
86,The Miseducation of Cameron Post
82,Molly's Game
88,Whitney
85,A Simple Favor
93,"Monrovia, Indiana"
84,Game Night
91,Teen Titans Go! To the Movies
93,The Ballad of Buster Scruggs
92,Revenge
94,The Guardians (Les Gardiennes)
93,Journey's End
79,Halloween
92,Support the Girls
95,Robin Williams: Come Inside My Mind
94,If Beale Street Could Talk
90,The Old Man & the Gun
95,The Favourite
91,Hearts Beat Loud
88,American Animals
94,"Nico, 1988"
96,Bisbee '17
95,Private Life
95,Western
96,Border (Gräns)
96,To All the Boys I've Loved Before
86,Tully
95,Sweet Country
95,Burning (Beoning)
94,The Endless
90,Lean on Pete
96,Filmworker
98,Shoplifters (Manbiki kazoku)
93,Blindspotting
97,I Am Not a Witch
94,Custody (Jusqu'à la garde)
98,The Cakemaker
94,Beast
96,Three Identical Strangers
93,Wildlife
99,Roma
97,Blaze
100,Minding the Gap
94,RBG
99,The Guilty (Den skyldige)
93,Searching
96,Zama
98,In Between
93,First Reformed
93,Sorry to Bother You
99,McQueen
96,The Hate U Give
97,The Rider
89,Isle of Dogs
100,Tea With the Dames (Nothing Like a Dame)
100,Summer 1993 (Estiu 1993)
94,A Fantastic Woman (Una mujer fantástica)
98,Can You Ever Forgive Me?
88,First Man
84,Avengers: Infinity War
89,Hereditary
88,Ant-Man and the Wasp
88,The Post
92,Crazy Rich Asians
100,Leave No Trace
99,Eighth Grade
91,Phantom Thread
99,Won't You Be My Neighbor?
97,Mission: Impossible - Fallout
96,The Death of Stalin
90,A Star Is Born
95,A Quiet Place
94,Incredibles 2
100,Paddington 2
95,BlacKkKlansman
89,"I, Tonya"
